_c0,signal_std,signal_rad,pluie,timestamp
2022-10-08T17:01:00.000+02:00,-23.339205,-30.367615,0,2022-10-08T17:01:00.000+02:00
2022-10-08T17:02:00.000+02:00,-23.338848,-30.367258,0,2022-10-08T17:02:00.000+02:00
2022-10-08T17:03:00.000+02:00,-23.340626,-30.36797,0,2022-10-08T17:03:00.000+02:00
2022-10-08T17:04:00.000+02:00,-23.33956,-30.365128,0,2022-10-08T17:04:00.000+02:00
2022-10-08T17:05:00.000+02:00,-23.337074,-30.361221,0,2022-10-08T17:05:00.000+02:00
2022-10-08T17:06:00.000+02:00,-23.336363,-30.366194,0,2022-10-08T17:06:00.000+02:00
2022-10-08T17:07:00.000+02:00,-23.332458,-30.36193,0,2022-10-08T17:07:00.000+02:00
2022-10-08T17:08:00.000+02:00,-23.332813,-30.36193,0,2022-10-08T17:08:00.000+02:00
2022-10-08T17:09:00.000+02:00,-23.329971,-30.362288,0,2022-10-08T17:09:00.000+02:00
2022-10-08T17:10:00.000+02:00,-23.316122,-30.35483,0,2022-10-08T17:10:00.000+02:00
2022-10-08T17:11:00.000+02:00,-23.304403,-30.348083,0,2022-10-08T17:11:00.000+02:00
2022-10-08T17:12:00.000+02:00,-23.300852,-30.349503,0,2022-10-08T17:12:00.000+02:00
2022-10-08T17:13:00.000+02:00,-23.288778,-30.339205,0,2022-10-08T17:13:00.000+02:00
2022-10-08T17:14:00.000+02:00,-23.286648,-30.338495,0,2022-10-08T17:14:00.000+02:00
2022-10-08T17:15:00.000+02:00,-23.282742,-30.332102,0,2022-10-08T17:15:00.000+02:00
2022-10-08T17:16:00.000+02:00,-23.289488,-30.342045,0,2022-10-08T17:16:00.000+02:00
2022-10-08T17:17:00.000+02:00,-23.303337,-30.33672,0,2022-10-08T17:17:00.000+02:00
2022-10-08T17:18:00.000+02:00,-23.302273,-30.33885,0,2022-10-08T17:18:00.000+02:00
2022-10-08T17:19:00.000+02:00,-23.303694,-30.339914,0,2022-10-08T17:19:00.000+02:00
2022-10-08T17:20:00.000+02:00,-23.299433,-30.337074,0,2022-10-08T17:20:00.000+02:00
2022-10-08T17:21:00.000+02:00,-23.283451,-30.33601,0,2022-10-08T17:21:00.000+02:00
2022-10-08T17:22:00.000+02:00,-23.295881,-30.34169,0,2022-10-08T17:22:00.000+02:00
2022-10-08T17:23:00.000+02:00,-23.301918,-30.335299,0,2022-10-08T17:23:00.000+02:00
2022-10-08T17:24:00.000+02:00,-23.298012,-30.33743,0,2022-10-08T17:24:00.000+02:00
2022-10-08T17:25:00.000+02:00,-23.2902,-30.335653,0,2022-10-08T17:25:00.000+02:00
2022-10-08T17:26:00.000+02:00,-23.283096,-30.33743,0,2022-10-08T17:26:00.000+02:00
2022-10-08T17:27:00.000+02:00,-23.271378,-30.328907,0,2022-10-08T17:27:00.000+02:00
2022-10-08T17:28:00.000+02:00,-23.274574,-30.323935,0,2022-10-08T17:28:00.000+02:00
